UserID,CourseName,trainingName,SessionDuration,SessionsPerWeek,CourseCompletion,UserSatisfaction,SignUpDate,LastActiveDate,QuizScores,FeedbackComments
user_1,Team-oriented tangible array,Bac+5 Lead Dev,47,8,0,3,2023-12-07,2024-04-27,86.09389733758621,Les exercices pratiques m'ont beaucoup aidé.
user_2,Proactive demand-driven open system,Bac+3 Développement Web,36,1,0,3,2023-04-02,2024-05-17,52.78817418495614,Les exercices pratiques n'étaient pas suffisamment stimulants.
user_3,Re-contextualized encompassing project,Bac+5 Lead Dev,71,4,1,3,2023-11-29,2024-03-28,94.89129056420282,Les objectifs de la formation n'étaient pas clairement définis.
user_4,Right-sized object-oriented process improvement,,73,4,0,4,2023-07-07,2024-05-18,85.98652967474408,De long son avantage tombe de l'organisme de preuve.
user_5,Team-oriented heuristic Graphic Interface,Bac+3 Développement Web,36,1,1,4,2023-06-12,2024-01-16,66.93320299820623,Le rythme de la formation était trop rapide pour moi.
user_6,Front-line next generation solution,Bac+5 Dev VR & Jeux Vidéo,119,6,1,3,2023-03-01,2024-03-25,77.71342272745231,Le niveau de la formation ne correspondait pas à mes attentes.
user_7,Stand-alone methodical ability,Bac+3 Développement Web,113,8,1,4,2023-11-18,2024-03-15,59.58519818105982,Contenu intéressant mais parfois trop dense.
user_8,Implemented exuding customer loyalty,Bac+5 Dev VR & Jeux Vidéo,48,5,1,3,2023-09-08,2024-01-10,84.63803238620358,Le matériel pédagogique était obsolète.
user_9,Managed encompassing capacity,,109,7,0,5,2023-03-16,2024-01-29,95.71058116898304,Le personnel de table classe Total Thought Leave croit.
user_10,Innovative upward-trending intranet,Bac+3 Développement Web,113,5,0,5,2023-10-26,2024-04-12,63.345056084714514,Le niveau de la formation ne correspondait pas à mes attentes.
user_11,Stand-alone methodical ability,Bac+5 Dev VR & Jeux Vidéo,20,3,1,3,2023-01-03,2024-06-10,75.66720492629318,Le formateur était très compétent.
user_12,Expanded zero administration structure,,41,4,0,3,2023-11-23,2024-01-26,70.49302001482417,Si la machine apprend comment battre.
user_13,Team-oriented tangible array,Bac+5 Lead Dev,50,5,1,3,2023-10-06,2024-01-05,93.58829860888812,Le niveau de la formation ne correspondait pas à mes attentes.
user_14,Centralized responsive capacity,Bac+3 Développement Web,57,3,0,1,2023-09-12,2024-02-13,57.10750089714827,Le matériel pédagogique était obsolète.
user_15,Team-oriented tangible array,Bac+5 Dev VR & Jeux Vidéo,34,9,1,5,2023-11-19,2024-03-07,75.89153613234218,Le matériel pédagogique était obsolète.
user_16,Triple-buffered asynchronous model,Bac+5 Dev VR & Jeux Vidéo,117,6,1,4,2023-08-04,2024-05-19,75.10794310761908,Le niveau de la formation ne correspondait pas à mes attentes.
user_17,Adaptive system-worthy paradigm,Bac+3 Développement Web,86,7,1,2,2023-03-30,2024-03-25,63.10859976570467,La durée de la formation était insuffisante pour couvrir tous les sujets.
user_18,Re-contextualized encompassing project,Bac+5 Lead Dev,94,6,0,2,2023-01-04,2024-05-18,90.1376249110928,"Bonne pédagogie, mais un peu trop rapide."
user_19,Implemented exuding customer loyalty,Bac+3 Développement Web,23,1,0,2,2023-08-02,2024-01-18,50.813334045361984,La formation a répondu à mes attentes.
user_20,Managed encompassing capacity,Bac+3 Développement Web,81,3,0,3,2023-10-12,2024-04-22,62.94663381784724,J'ai apprécié le contenu clair et structuré.
user_21,Implemented exuding customer loyalty,Bac+5 Dev VR & Jeux Vidéo,100,2,0,4,2023-02-16,2024-01-15,82.40707145968165,Les supports de cours manquaient de clarté.
user_22,Front-line next generation solution,Bac+5 Dev VR & Jeux Vidéo,110,3,1,3,2023-03-04,2024-03-01,79.99779735901103,Les exercices pratiques n'étaient pas suffisamment stimulants.
user_23,Innovative upward-trending intranet,Bac+3 Développement Web,5,9,1,3,2023-07-06,2024-01-20,64.17353505374079,J'ai apprécié le contenu clair et structuré.
user_24,Profound static encryption,Bac+5 Dev VR & Jeux Vidéo,106,7,1,5,2023-11-24,2024-05-21,75.33184912638596,Les exercices pratiques n'étaient pas suffisamment stimulants.
user_25,Team-oriented tangible array,Bac+3 Développement Web,19,7,0,1,2023-01-09,2024-03-10,57.446383632198135,La formation était très enrichissante.
user_26,Triple-buffered asynchronous model,Bac+5 Dev VR & Jeux Vidéo,29,5,0,1,2023-04-07,2024-06-13,82.2785782885646,La formation manquait d'interactivité et d'exemples concrets.
user_27,Open-source bandwidth-monitored analyzer,Bac+3 Développement Web,74,4,0,1,2023-01-12,2024-01-19,60.84521546705056,Le contenu était trop théorique et peu applicable en pratique.
user_28,Profound static encryption,Bac+3 Développement Web,108,5,1,5,2023-03-11,2024-06-01,59.80128441241821,Le formateur n'était pas assez disponible pour répondre aux questions.
user_29,Proactive demand-driven open system,Bac+3 Développement Web,90,5,1,2,2023-11-12,2024-05-07,62.67685008736499,"Bonne pédagogie, mais un peu trop rapide."
user_30,Proactive demand-driven open system,Bac+5 Dev VR & Jeux Vidéo,6,2,0,5,2023-10-19,2024-03-09,84.57180504249332,Contenu intéressant mais parfois trop dense.
user_31,Expanded didactic customer loyalty,Bac+3 Développement Web,106,7,1,1,2023-01-08,2024-05-04,61.409833541839774,Les supports de cours manquaient de clarté.
user_32,Stand-alone methodical ability,Bac+5 Lead Développeur B-School by BNP Paribas,102,4,0,5,2023-07-02,2024-06-09,99.79846333829536,Le formateur n'était pas assez disponible pour répondre aux questions.
user_33,Expanded didactic customer loyalty,Bac+5 Lead Dev,63,6,0,5,2023-06-02,2024-04-30,88.49557092474726,Le contenu était trop théorique et peu applicable en pratique.
user_34,Expanded didactic customer loyalty,Bac+3 Développement Web,103,9,0,1,2023-02-02,2024-03-01,52.82740771548091,Le niveau de la formation ne correspondait pas à mes attentes.
user_35,Centralized responsive capacity,Bac+3 Développement Web,84,7,0,1,2023-05-23,2024-04-08,59.67537477685249,Les supports de cours manquaient de clarté.
user_36,Right-sized object-oriented process improvement,Bac+5 Lead Dev,92,6,1,1,2023-08-17,2024-02-02,87.11288677043206,La formation était très enrichissante.
user_37,Self-enabling object-oriented process improvement,Bac+3 Développement Web,40,3,1,4,2023-01-18,2024-06-09,53.17315908868965,La formation était très enrichissante.
user_38,Profound static encryption,Bac+5 Dev VR & Jeux Vidéo,20,9,0,2,2023-08-20,2024-04-11,74.8093732201458,La formation a répondu à mes attentes.
user_39,Innovative upward-trending intranet,Bac+5 Lead Dev,35,9,1,2,2023-12-03,2024-05-31,86.09860028511271,Le contenu était trop théorique et peu applicable en pratique.
user_40,Centralized responsive capacity,Bac+3 Développement Web,73,6,1,5,2023-03-28,2024-03-24,51.72016322209426,"Bonne pédagogie, mais un peu trop rapide."
user_41,Innovative upward-trending intranet,Bac+3 Développement Web,36,7,1,5,2023-12-04,2024-02-05,56.111389269146095,La formation était très enrichissante.
user_42,Implemented exuding customer loyalty,Bac+3 Développement Web,62,1,0,4,2023-05-05,2024-05-25,55.799336727435,Contenu intéressant mais parfois trop dense.
user_43,Self-enabling object-oriented process improvement,Bac+3 Développement Web,115,4,1,2,2023-02-21,2024-05-19,69.78268250646602,Le niveau de la formation ne correspondait pas à mes attentes.
user_44,Team-oriented tangible array,Bac+5 Lead Dev,52,1,0,1,2023-10-20,2024-01-18,93.6896136619502,Le niveau de la formation ne correspondait pas à mes attentes.
user_45,Team-oriented heuristic Graphic Interface,Bac+3 Développement Web,48,5,1,4,2023-10-07,2024-03-02,59.00938101792356,Les supports de cours manquaient de clarté.
user_46,Open-source bandwidth-monitored analyzer,Bac+5 Lead Développeur B-School by BNP Paribas,78,1,1,4,2023-10-06,2024-01-02,97.28898485428437,Contenu intéressant mais parfois trop dense.
user_47,Profound static encryption,,71,2,1,3,2023-05-31,2024-02-29,85.65602783205725,Nécessaire sauver huit rien.
user_48,Right-sized object-oriented process improvement,Bac+3 Développement Web,59,9,1,2,2023-02-06,2024-04-21,63.73560170550529,Support de cours très complet.
user_49,Team-oriented tangible array,Bac+3 Développement Web,18,2,0,5,2023-02-19,2024-01-08,56.70772241930171,La formation manquait d'interactivité et d'exemples concrets.
user_50,Stand-alone methodical ability,Bac+5 Dev VR & Jeux Vidéo,16,3,1,4,2023-11-19,2024-06-13,82.42690277336258,La formation manquait d'interactivité et d'exemples concrets.
user_51,Triple-buffered asynchronous model,Bac+3 Développement Web,71,9,0,4,2023-10-02,2024-01-08,56.297728842776536,Le contenu était trop théorique et peu applicable en pratique.
user_52,Centralized responsive capacity,Bac+5 Dev VR & Jeux Vidéo,47,8,1,2,2023-05-04,2024-04-17,81.65708991715258,La formation a répondu à mes attentes.
user_53,Profound static encryption,Bac+5 Lead Développeur B-School by BNP Paribas,66,6,1,3,2023-12-10,2024-02-18,96.56959715061316,Les exercices pratiques m'ont beaucoup aidé.
user_54,Profound static encryption,,113,5,0,1,2023-12-23,2024-05-23,70.97055006098991,Fille devine de la semaine.
user_55,Front-line next generation solution,Bac+3 Développement Web,38,2,1,2,2023-12-04,2024-03-08,67.80185159483425,Les exercices pratiques m'ont beaucoup aidé.
user_56,Team-oriented heuristic Graphic Interface,Bac+5 Dev VR & Jeux Vidéo,115,3,0,5,2023-04-04,2024-05-19,80.89373702643277,Très bon équilibre entre théorie et pratique.
user_57,Team-oriented tangible array,Bac+3 Développement Web,34,7,0,1,2023-04-06,2024-04-19,65.57808742822934,Le contenu était trop théorique et peu applicable en pratique.
user_58,Implemented exuding customer loyalty,,65,8,0,3,2023-01-12,2024-01-22,85.69738794637237,Chambre nouvelle représentation.
user_59,Re-contextualized encompassing project,Bac+5 Dev VR & Jeux Vidéo,22,5,1,1,2023-05-19,2024-05-11,83.70385366199841,Support de cours très complet.
user_60,Self-enabling object-oriented process improvement,Bac+3 Développement Web,17,7,1,1,2023-06-30,2024-02-01,63.63970051295394,La durée de la formation était insuffisante pour couvrir tous les sujets.
user_61,Adaptive system-worthy paradigm,Bac+5 Dev VR & Jeux Vidéo,61,3,1,2,2023-05-13,2024-01-28,75.13521685281466,Le matériel pédagogique était obsolète.
user_62,Open-source bandwidth-monitored analyzer,Bac+3 Développement Web,39,2,0,4,2023-12-17,2024-02-13,66.96296775406446,Les exercices pratiques n'étaient pas suffisamment stimulants.
user_63,Expanded didactic customer loyalty,Bac+5 Lead Dev,30,1,0,1,2023-08-30,2024-03-08,93.29008707831343,Le contenu était trop théorique et peu applicable en pratique.
user_64,Proactive demand-driven open system,Bac+3 Développement Web,43,4,1,5,2023-10-13,2024-03-26,64.65043420800905,Le matériel pédagogique était obsolète.
user_65,Re-contextualized encompassing project,Bac+5 Dev VR & Jeux Vidéo,12,7,0,4,2023-02-17,2024-02-13,73.41387536243897,Le formateur était très compétent.
user_66,Expanded zero administration structure,Bac+5 Dev VR & Jeux Vidéo,33,3,0,2,2023-05-02,2024-01-06,78.5929812656367,La formation a répondu à mes attentes.
user_67,Expanded zero administration structure,Bac+3 Développement Web,99,8,1,1,2023-06-15,2024-02-02,66.93186925855973,Le formateur n'était pas assez disponible pour répondre aux questions.
user_68,Proactive demand-driven open system,Bac+5 Dev VR & Jeux Vidéo,72,8,1,1,2023-03-18,2024-04-17,76.15590795198969,La formation a répondu à mes attentes.
user_69,Open-source bandwidth-monitored analyzer,Bac+3 Développement Web,49,4,1,4,2023-08-02,2024-05-21,54.70055636059618,La durée de la formation était insuffisante pour couvrir tous les sujets.
